! ========================================================================================================================================
! Supplementary Material
! ========================================================================================================================================
! Manuscript submitted to Combustion and Flame
! Kinetics of Ethylene Glycol: The first validated reaction scheme and first measurements of ignition delay times and speciation data
! Trupti Kathrotia*, Clemens Naumann, Patrick Oßwald, Markus Köhler, Uwe Riedel
! Detailed Mechanism for Ethylene Glycol (Species: 78, Reactions: 586)
! General Nomenclature: P: Primary, S: Secondary, T: Tertiary, A: allyl, I: Iso, N: n, On: 1, Tw: 2
! ========================================================================================================================================
TRANSPORT ALL
H                0    145.000      2.050      0.000      0.000      0.000
H2               1     38.000      2.920      0.000      0.790    280.000
HO2              2    107.400      3.458      0.000      0.000      3.800
H2O              2    572.400      2.605      1.844      0.000      2.100
H2O2             2    107.400      3.458      0.000      0.000      3.800
O                0     80.000      2.750      0.000      0.000      0.000
O2               1    107.400      3.458      0.000      1.600      3.800
OH               1     80.000      2.750      0.000      0.000      0.000
HCO              2    498.000      3.590      0.000      0.000      0.000
HCCO             2    436.000      3.970      0.000      0.000      2.000
HCOOH            2    436.000      3.970      0.000      0.000      2.000
C                0     80.000      2.750      0.000      0.000      0.000
CO               1     98.100      3.650      0.000      1.950      1.800
CO2              1    244.000      3.763      0.000      2.650      2.100
CH               1     80.000      2.750      0.000      0.000      0.000
On-CH2           1    141.400      3.746      0.000      0.000     13.000
Th-CH2           1    141.400      3.746      0.000      0.000     13.000
CH3              2    141.400      3.746      0.000      0.000     13.000
CH4              2    141.400      3.746      0.000      2.600     13.000
C2H              1    209.000      4.100      0.000      0.000      2.500
C2H2             1    209.000      4.100      0.000      0.000      2.500
C2H3             2    209.000      4.100      0.000      0.000      2.500
C2H4             2    243.000      4.050      0.000      0.000      2.000
C2H5             2    246.000      4.320      0.000      0.000      2.000
C2H6             2    246.000      4.320      0.000      0.000      2.000
C2H5O            2    417.000      3.690      1.700      0.000      2.000
C2H5OH           2    417.000      3.690      1.700      0.000      2.000
C3H2             1    373.300      4.424      0.000      0.000      1.000
C3H3             1    373.300      4.424      0.000      0.000      1.000
PC3H4            2    324.800      4.290      0.000      0.000      1.000
AC3H5            2    316.000      4.220      0.000      0.000      1.000
C3H6             2    373.300      4.424      0.000      0.000      1.000
IC3H7            2    266.800      4.982      0.000      0.000      1.000
NC3H7            2    266.800      4.982      0.000      0.000      1.000
C3H8             2    266.800      4.982      0.000      0.000      1.000
CH2O             2    498.000      3.590      0.000      0.000      2.000
CH2CO            2    436.000      3.970      0.000      0.000      2.000
CH2OH            2    417.000      3.690      1.700      0.000      2.000
CH2HCO           2    436.000      3.970      0.000      0.000      2.000
CH2CH2OH         2    417.000      3.690      1.700      0.000      2.000
CH3HCO           2    436.000      3.970      0.000      0.000      2.000
CH3CHOH          2    417.000      3.690      1.700      0.000      2.000
CH3CO            2    436.000      3.970      0.000      0.000      2.000
CH3O             2    417.000      3.690      1.700      0.000      2.000
CH3O2            2    244.000      3.763      0.000      2.650      2.100
CH3O2H           2    417.000      3.690      1.700      0.000      2.000
CH3OH            2    417.000      3.690      1.700      0.000      2.000
N2               1     97.530      3.621      0.000      1.760      4.000
AR               0    136.500      3.330      0.000      0.000      0.000
R-CH2O           2    417.000      3.690      1.700      0.000      2.000
CH2CHCO          2    443.200      4.120      0.000      0.000      1.000
CH2CHCHO         2    428.800      4.958      2.900      0.000      1.000
CH3CHCO          2    443.200      4.120      0.000      0.000      1.000
CHOCHO           2    440.000      4.010      0.000      0.000      2.000
R-CHOH           2    417.000      3.690      1.700      0.000      2.000
EthGly           2    417.000      3.690      1.700      0.000      2.000
HOCH2CO          2    436.000      3.970      0.000      0.000      2.000
HOCHCHO          2    436.000      3.970      0.000      0.000      2.000
HOCHCO           2    436.000      3.970      0.000      0.000      2.000
HOC2H4O2         2    470.600      4.410      0.000      0.000      1.500
HOCH2CHO         2    436.000      3.970      0.000      0.000      2.000
C3H5O            2    411.000      4.820      0.000      0.000      1.000
C3H5OH           2    481.500      4.997      1.700      0.000      1.000
C2O              2    232.400      3.828      0.000      0.000      1.000
C4H2             1    357.000      5.180      0.000      0.000      1.000
C4H6             2    357.000      5.176      0.000      0.000      1.000
C4H7             2    266.800      4.982      0.000      0.000      1.000
I-C4H7           2    266.800      4.982      0.000      0.000      1.000
I-C4H8           2    357.000      5.176      0.000      0.000      1.000
On-C4H8          2    357.000      5.176      0.000      0.000      1.000
Tw-C4H8          2    357.000      5.176      0.000      0.000      1.000
I-C4H9           2    357.000      5.176      0.000      0.000      1.000
PC4H9            2    357.000      5.176      0.000      0.000      1.000
SC4H9            2    357.000      5.176      0.000      0.000      1.000
T-C4H9           2    357.000      5.176      0.000      0.000      1.000
C4H10            2    531.400      4.687      0.000      0.000      1.000
I-C4H10          2    330.100      5.278      0.000      0.000      1.000
C-2-C4H8         2    357.000      5.176      0.000      0.000      1.000
END
