TRANSPORT ALL
!version:  aramcomech 1.3 c4[dat][dat]
!authors:  s. burke, c. zhou, w. k. metcalfe h. j. curran[dat][dat]
!website: http://c3.nuigalway.ie/[dat][dat]
H 0 145.0 2.05 0.0 0.0 0.0
H2 1 38.0 2.92 0.0 0.79 280.0
O 0 80.0 2.75 0.0 0.0 0.0
O2 1 107.4 3.458 0.0 1.6 3.8
OH 1 80.0 2.75 0.0 0.0 0.0
H2O 2 572.4 2.605 1.844 0.0 4.0
N2 1 97.53 3.621 0.0 1.76 4.0
N(15)2 1 97.53 3.621 0.0 1.76 4.0
HO2 2 107.4 3.458 0.0 0.0 1.0
H2O2 2 107.4 3.458 0.0 0.0 3.8
AR 0 136.5 3.33 0.0 0.0 0.0
!=HNNO[dat][dat]
HONO 2 232.4 3.828 0.0 0.0 1.0
N2H2 2 71.4 3.798 0.0 0.0 1.0
N2H4 2 205.0 4.23 0.0 4.26 1.5
N 0 71.4 3.298 0.0 0.0 0.0
N(15) 0 71.4 3.298 0.0 0.0 0.0
NH 1 80.0 2.65 0.0 0.0 4.0
NH2OH 2 116.7 3.492 0.0 0.0 1.0
N2H3 2 200.0 3.9 0.0 0.0 1.0
!=N2H2[dat][dat]
H2NN 2 71.4 3.798 0.0 0.0 1.0
NH2 2 80.0 2.65 0.0 2.26 4.0
NH3 2 481.0 2.92 1.47 0.0 10.0
NNH 2 71.4 3.798 0.0 0.0 1.0
NO 1 97.53 3.621 0.0 1.76 4.0
N(15)O 1 97.53 3.621 0.0 1.76 4.0
NO2 2 200.0 3.5 0.0 0.0 1.0
N2O 1 232.4 3.828 0.0 0.0 1.0
HNO 2 116.7 3.492 0.0 0.0 1.0
!=HNO[dat][dat]
H2NO 2 116.7 3.492 0.0 0.0 1.0
!(OIS)=HSO2[dat][dat]
HNOH 2 116.7 3.492 0.0 0.0 1.0
!=SO3[dat][dat]
CO 1 98.1 3.65 0.0 1.95 1.8
!![dat][dat]
CO2 1 244.0 3.763 0.0 2.65 2.1
!![dat][dat]
CH3 1 144.0 3.8 0.0 0.0 0.0
!![dat][dat]
CH2 1 144.0 3.8 0.0 0.0 0.0
!![dat][dat]
CH2(S) 1 144.0 3.8 0.0 0.0 0.0
!![dat][dat]
CH3OH 2 481.8 3.626 0.0 0.0 1.0
!![dat][dat]
CH2OH 2 417.0 3.69 1.7 0.0 2.0
!![dat][dat]
CH2O 2 498.0 3.59 0.0 0.0 2.0
!![dat][dat]
HCO 2 498.0 3.59 0.0 0.0 0.0
!![dat][dat]
CH3O 2 417.0 3.69 1.7 0.0 2.0
CH4 2 141.4 3.746 0.0 2.6 13.0
T-CH2 1 144.0 3.8 0.0 0.0 0.0
S-CH2 1 144.0 3.8 0.0 0.0 0.0
! Chemkin transport database[dat]
CN 1 75.0 3.856 0.0 0.0 1.0
! Chemkin transport database[dat]
HCN 1 569.0 3.63 0.0 0.0 1.0
!=HCN[dat]
NCO 1 232.4 3.828 0.0 0.0 1.0
! Chemkin transport database[dat]
HNCO 2 232.4 3.828 0.0 0.0 1.0
!(JAM)[dat]
CH2NH2             2   417.000     3.690     1.700     0.000     2.000  !=CH3O
HCOH               2   498.000     3.590     0.000     0.000     1.000 ! =hcoh, Marinov
HOCH2O             2   470.600     4.410     0.000     0.000     1.500
HOCHO              2   436.000     3.970     0.000     0.000     2.000
CH3CO3 2 436.0 3.97 0.0 0.0 2.0
CH3CHO 2 436.0 3.97 0.0 0.0 2.0
CH2CO 2 436.0 3.97 0.0 0.0 2.0
C4H6               2   357.000     4.720     0.000     0.000     1.000
C6H9-A             2   346.876     5.564     0.000     0.000     1.000
CH3CO3 2 436.0 3.97 0.0 0.0 2.0
CH3CO 2 436.0 3.97 0.0 0.0 2.0
HOCHO              2   436.000     3.970     0.000     0.000     2.000
C2H2               1   265.300     3.721     0.000     0.000     2.500
C2H3               2   209.000     4.100     0.000     0.000     1.000 ! *
CHCHO              2   436.000     3.970     0.000     0.000     2.000
C2H4               2   280.800     3.971     0.000     0.000     1.500
C2H5               2   252.300     4.302     0.000     0.000     1.500
C2H6               2   252.300     4.302     0.000     0.000     1.500
C3H7               2   266.800     4.982     0.000     0.000     1.000
C3H8               2   266.800     4.982     0.000     0.000     1.000
CH2CO              2   436.000     3.970     0.000     0.000     2.000
HCCOH              2   436.000     3.970     0.000     0.000     2.000
CH2CHO             2   436.000     3.970     0.000     0.000     2.000
CH3CHO             2   436.000     3.970     0.000     0.000     2.000
C                  0    71.400     3.298     0.000     0.000     0.000 ! *
FN2                1    97.530     3.621     0.000     1.760     4.000 !FN2 with transprot data of N2
END
