HE                 0    10.200     2.576     0.000     0.000     0.000 ! *
AR                 0   136.500     3.330     0.000     0.000     0.000
A                  0   136.500     3.330     0.000     0.000     0.000
E                  0   850.        425.      0.000     0.000     1.000 ! singh
CL                 0   130.8       3.613     0.000     0.000     1.000 ! singh
CL-                0   130.8       3.613     0.000     0.000     1.000 ! singh
HCL                1   344.7       3.339     1.084     0.000     1.000 ! singh
F                  0    80.000     2.750     0.000     0.000     0.000
HF                 1   330.000     3.148     1.920     2.460     1.000 ! sv/mec
HF0                1   352.000     2.490     1.730     0.000     5.000
HF1                1   352.000     2.490     1.730     0.000     5.000
HF2                1   352.000     2.490     1.730     0.000     5.000
HF3                1   352.000     2.490     1.730     0.000     5.000
HF4                1   352.000     2.490     1.730     0.000     5.000
HF5                1   352.000     2.490     1.730     0.000     5.000
HF6                1   352.000     2.490     1.730     0.000     5.000
HF7                1   352.000     2.490     1.730     0.000     5.000
HF8                1   352.000     2.490     1.730     0.000     5.000
F2                 1   125.700     3.301     0.000     1.600     3.800
H                  0   145.000     2.050     0.000     0.000     0.000
OH                 1    80.000     2.750     0.000     0.000     0.000
HO2                2   107.400     3.458     0.000     0.000     1.000 ! *
H2                 1    38.000     2.920     0.000     0.790   280.000
H2O                2   572.400     2.605     1.844     0.000     4.000
H2O2               2   107.400     3.458     0.000     0.000     3.800
O                  0    80.000     2.750     0.000     0.000     0.000
O2                 1   107.400     3.458     0.000     1.600     3.800
O3                 2   180.000     4.100     0.000     0.000     2.000
N                  0    71.400     3.298     0.000     0.000     0.000 ! *
NH                 1    80.000     2.650     0.000     0.000     4.000
HNO                2   116.700     3.492     0.000     0.000     1.000 ! *
HONO               2   232.400     3.828     0.000     0.000     1.000 !=HNNO
NH2                2    80.000     2.650     0.000     2.260     4.000
H2NO               2   116.700     3.492     0.000     0.000     1.000 ! JAM
HNOH               2   116.700     3.492     0.000     0.000     1.000 ! JAM
NH3                2   481.000     2.920     1.470     0.000    10.000
N2                 1    97.530     3.621     0.000     1.760     4.000
NNH                2    71.400     3.798     0.000     0.000     1.000 ! *
HNNO               2   232.400     3.828     0.000     0.000     1.000 ! *
N2H2               2    71.400     3.798     0.000     0.000     1.000 ! *
N2H3               2   200.000     3.900     0.000     0.000     1.000 ! *
N2H4               2   205.000     4.230     0.000     4.260     1.500
N2O                1   232.400     3.828     0.000     0.000     1.000 ! *
NO                 1    97.530     3.621     0.000     1.760     4.000
NO2                2   200.000     3.500     0.000     0.000     1.000 ! *
S                  0   847.000     3.839     0.000     0.000     0.000 ! OIS
SH                 1   847.000     3.900     0.000     0.000     1.000 ! OIS
HSO2               2   252.000     4.290     0.000     0.000     1.000 ! OIS
H2S                2   301.000     3.600     0.000     0.000     1.000 ! OIS
SO                 1   301.000     3.993     0.000     0.000     1.000 ! OIS
SO2                2   252.000     4.290     0.000     0.000     1.000 ! OIS
SO3                2   378.400     4.175     0.000     0.000     1.000 ! OIS
S2                 1   847.000     3.900     0.000     0.000     1.000 ! OIS
C                  0    71.400     3.298     0.000     0.000     0.000 ! *
CH                 1    80.000     2.750     0.000     0.000     0.000
HCN                1   569.000     3.630     0.000     0.000     1.000 ! OIS
HCNO               2   232.400     3.828     0.000     0.000     1.000 ! JAM
HOCN               2   232.400     3.828     0.000     0.000     1.000 ! JAM
HNCO               2   232.400     3.828     0.000     0.000     1.000 ! OIS
HCNN               2   150.000     2.500     0.000     0.000     1.000 !  =HCCO*
HCO                2   498.000     3.590     0.000     0.000     0.000
CHO                2   498.000     3.590     0.000     0.000     0.000
HCO+               1   498.000     3.590     0.000     0.000     0.000
CHO+               1   498.000     3.590     0.000     0.000     0.000
CH2                1   144.000     3.800     0.000     0.000     0.000
SCH2               1   144.000     3.800     0.000     0.000     0.000
CH2(S)             1   144.000     3.800     0.000     0.000     0.000
H2CN               1   569.000     3.630     0.000     0.000     1.000 ! os/jm
CH2O               2   498.000     3.590     0.000     0.000     2.000
CH3                1   144.000     3.800     0.000     0.000     0.000
CH3O               2   417.000     3.690     1.700     0.000     2.000
CH2OH              2   417.000     3.690     1.700     0.000     2.000
CH3O2              2   481.800     3.626     0.000     0.000     1.000 !=Met
CH3NO3             2   232.400     3.828     0.000     0.000     1.000 !=HCNO
CH4                2   141.400     3.746     0.000     2.600    13.000
CH4O               2   417.000     3.690     1.700     0.000     2.000
CH3OH              2   481.800     3.626     0.000     0.000     1.000 ! SVE
CH3O2H             2   481.800     3.626     0.000     0.000     1.000 !=Met
CN                 1    75.000     3.856     0.000     0.000     1.000 ! OIS
NCO                1   232.400     3.828     0.000     0.000     1.000 ! OIS
CN2                1   232.400     3.828     0.000     0.000     1.000 ! OIS
NCN                1   232.400     3.828     0.000     0.000     1.000 ! OIS
CNN                1   232.400     3.828     0.000     0.000     1.000 ! OIS
NCNO               2   232.400     3.828     0.000     0.000     1.000 ! OIS
CO                 1    98.100     3.650     0.000     1.950     1.800
CO2                1   244.000     3.763     0.000     2.650     2.100
C2                 1    97.530     3.621     0.000     1.760     4.000
C2H                1   209.000     4.100     0.000     0.000     2.500
HC2N2              1   349.000     4.361     0.000     0.000     1.000 ! OIS
HCCO               2   150.000     2.500     0.000     0.000     1.000 ! *
C2H2               1   209.000     4.100     0.000     0.000     2.500
HCCOH              2   436.000     3.970     0.000     0.000     2.000
CH2CO              2   436.000     3.970     0.000     0.000     2.000
CHOCO              2   436.000     3.970     0.000     0.000     2.000 ! bak
C2H3               2   209.000     4.100     0.000     0.000     1.000 ! *
C2H3O              2   436.000     3.970     0.000     0.000     2.000 !=EtOx
C2H2OH             2   224.700     4.162     0.000     0.000     1.000 ! *
CH2HCO             2   436.000     3.970     0.000     0.000     2.000 !=AA
CH3CO              2   436.000     3.970     0.000     0.000     2.000 !WAR
CH2CHO             2   436.000     3.970     0.000     0.000     2.000 !=AA
CH2CHOW            2   436.000     3.970     0.000     0.000     2.000 !=AA
CH3CO              2   436.000     3.970     0.000     0.000     2.000
CH3CO2             2   436.000     3.970     0.000     0.000     2.000 !=AA
CH3CO3             2   436.000     3.970     0.000     0.000     2.000 !=AA
C2H4               2   280.800     3.971     0.000     0.000     1.500
C2H4O              2   436.000     3.970     0.000     0.000     2.000 ! RAJ
C2H4O2H            2   436.000     3.970     0.000     0.000     2.000 ! bak
CH3HCO             2   436.000     3.970     0.000     0.000     2.000 ! RAJ
CH3CHO             2   436.000     3.970     0.000     0.000     2.000 !WAR
CH3HCOW            2   436.000     3.970     0.000     0.000     2.000 !=AA
CH3CHO             2   436.000     3.970     0.000     0.000     2.000
CHOCHO             2   436.000     3.970     0.000     0.000     2.000 ! bak
CH3CO2H            2   436.000     3.970     0.000     0.000     2.000 !=AA
CH3CO3H            2   436.000     3.970     0.000     0.000     2.000 !=AA
C2H5               2   252.300     4.302     0.000     0.000     1.500
C2H5O2             2   391.000     4.455     0.000     0.000     1.000 !=EtOH
C2H5O2H            2   391.000     4.455     0.000     0.000     1.000 !=EtOH
PC2H5O             2   391.000     4.455     0.000     0.000     1.000 ! RAJOUT
SC2H5O             2   391.000     4.455     0.000     0.000     1.000 ! RAJOUT
C2H5O              2   391.000     4.455     0.000     0.000     1.000 ! RAJOUT
C2H6               2   252.300     4.302     0.000     0.000     1.500
C2H5OH             2   391.000     4.455     0.000     0.000     1.000 ! RAJOUT
CH3O2CH3           2   357.000     5.180     0.000     0.000     1.000 !=CH3CCCH3
CNC                1   232.400     3.828     0.000     0.000     1.000 ! OIS
C2N                1   232.400     3.828     0.000     0.000     1.000 ! OIS
C2N2               1   349.000     4.361     0.000     0.000     1.000 ! OIS
C2O                1   232.400     3.828     0.000     0.000     1.000 ! *
C3H2               2   209.000     4.100     0.000     0.000     1.000 ! *
C3H2O              2   209.000     4.100     0.000     0.000     1.000 ! bak
C3H3               1   252.000     4.760     0.000     0.000     1.000
C3H3O              1   252.000     4.760     0.000     0.000     1.000 ! bak
H2CCCH             2   252.000     4.760     0.000     0.000     1.000 ! JAM
CH3CC              2   252.000     4.760     0.000     0.000     1.000 ! JAM
C3H4               1   252.000     4.760     0.000     0.000     1.000
C3H4P              1   252.000     4.760     0.000     0.000     1.000 ! JAM
PC3H4              1   252.000     4.760     0.000     0.000     1.000 ! RAJ
AC3H4              1   252.000     4.760     0.000     0.000     1.000 ! RAJ
ACETON             1   252.000     4.760     0.000     0.000     1.000 ! bak
METACROL           1   252.000     4.760     0.000     0.000     1.000 ! bak
C3H4C              1   252.000     4.760     0.000     0.000     1.000 ! RAJ
SC3H5              2   260.000     4.850     0.000     0.000     1.000 ! RAJ
AC3H5              2   260.000     4.850     0.000     0.000     1.000 ! RAJ
C3H5               2   260.000     4.850     0.000     0.000     1.000 ! WAR
CH3CCH2            2   260.000     4.850     0.000     0.000     1.000 ! JAM
CH2CHCH2           2   260.000     4.850     0.000     0.000     1.000 ! JAM
CH3CHCH            2   260.000     4.850     0.000     0.000     1.000 ! JAM
C3H5O              2   260.000     4.850     0.000     0.000     1.000 !=C3H5
C3H4OH             2   260.000     4.850     0.000     0.000     1.000 !=bak 
C3H5CO             2   357.000     5.180     0.000     0.000     1.000 ! bak=C4H7O
C3H6               2   266.800     4.982     0.000     0.000     1.000
C3H6O              2   391.000     4.455     0.000     0.000     1.000 ! RAJOUT
CH2COCH3           2   391.000     4.455     0.000     0.000     1.000 ! bak   
C3H4O2H            2   391.000     4.455     0.000     0.000     1.000 ! bak
IC3H7              2   266.800     4.982     0.000     0.000     1.000
NC3H7              2   266.800     4.982     0.000     0.000     1.000
IC3H7O             2   266.800     4.982     0.000     0.000     1.000 !=C3H7
NC3H7O             2   266.800     4.982     0.000     0.000     1.000 !=C3H7
C3H6OH             2   391.000     4.455     0.000     0.000     1.000 !=C3H6O
IC3H7O2            2   266.800     4.982     0.000     0.000     1.000 !=C3H7
NC3H7O2            2   266.800     4.982     0.000     0.000     1.000 !=C3H7
O2C3H6OH           2   391.000     4.455     0.000     0.000     1.000 !=C3H6O
C3H7               2   266.800     4.982     0.000     0.000     1.000
C3H5O2H            2   260.000     4.850     0.000     0.000     1.000 !=C3H5
TC3H5              2   260.000     4.850     0.000     0.000     1.000 ! RAJ
C3H8               2   266.800     4.982     0.000     0.000     1.000
IC3H7O2H           2   266.800     4.982     0.000     0.000     1.000 !=C3H7
