! A Detailed mechanism for the oxidation of Methyl Ethyl Ketone in a jet stirred reactor
!
! Sébastien Thion, Pascal Diévart, Pierre Van Cauwenberghe, Guillaume Dayma,  Zeynep Serinyel, and Philippe Dagaut
!
! Submitted for consideration at the 36th International Symposium on Combustion

ar                 0   136.500     3.330     0.000     0.000     0.000
n2                 1    97.530     3.621     0.000     1.760     4.000
he                 0    10.200     2.576     0.000     0.000     0.000 ! *
h2                 1    38.000     2.920     0.000     0.790   280.000
h                  0   145.000     2.050     0.000     0.000     0.000
o                  0    80.000     2.750     0.000     0.000     0.000
oh                 1    80.000     2.750     0.000     0.000     0.000
ho2                2   107.400     3.458     0.000     0.000     1.000 ! *
o2                 1   107.400     3.458     0.000     1.600     3.800
h2o                2   572.400     2.605     1.844     0.000     4.000
h2o2               2   107.400     3.458     0.000     0.000     3.800
co                 1    98.100     3.650     0.000     1.950     1.800
co2                1   244.000     3.763     0.000     2.650     2.100
ch2o               2   498.000     3.590     0.000     0.000     2.000
hco                2   498.000     3.590     0.000     0.000     0.000
ocho               2   481.800     3.626     1.700     0.000     1.000 ! ch3oh
ch3oh              2   481.800     3.626     1.700     0.000     1.000 ! sve,rpd
ch3o               2   417.000     3.690     1.700     0.000     2.000 
ch2oh              2   417.000     3.690     1.700     0.000     2.000
ch3o2              2   481.800     3.626     1.700     0.000     1.000 ! ch3oh
ch3o2h             2   481.800     3.626     1.700     0.000     1.000 ! ch3oh
ch4                2   141.400     3.746     0.000     2.600    13.000
ch3                1   144.000     3.800     0.000     0.000     0.000
ch2                1   144.000     3.800     0.000     0.000     0.000
ch2(s)             1   144.000     3.800     0.000     0.000     0.000
ch                 1    80.000     2.750     0.000     0.000     0.000
c                  0    71.400     3.298     0.000     0.000     0.000 ! *
hoco               2   498.000     3.590     0.000     0.000     2.000 !   wjp
hocho              2   481.800     3.626     1.700     0.000     1.000 ! ch3oh
hoch2o             2   481.800     3.626     1.700     0.000     1.000 ! ch3oh
hochoh             2   481.800     3.626     1.700     0.000     1.000 ! ch3oh
h2cc               1   209.000     4.100     0.000     0.000     2.500 !CRECK
c2h6               2   247.500     4.350     0.000     0.000     1.500 ! nmm
c2h5               2   247.500     4.350     0.000     0.000     1.500 ! nmm
c2h4               2   238.400     3.496     0.000     0.000     1.500 ! nmm
c2h3               2   265.300     3.721     0.000     0.000     1.000 ! nmm
c2h2               1   265.300     3.721     0.000     0.000     2.500 ! nmm
c2h                1   265.300     3.721     0.000     0.000     2.500 ! nmm
c2                 1    97.530     3.621     0.000     1.760     4.000
c2o                1   232.400     3.828     0.000     0.000     1.000 ! *
ch3cho             2   436.000     3.970     2.500     0.000     2.000 ! rpd
ch2cho             2   436.000     3.970     0.000     0.000     2.000
ch3co              2   436.000     3.970     2.500     0.000     2.000 ! ch3cho
ch2co              2   436.000     3.970     0.000     0.000     2.000
hcco               2   150.000     2.500     0.000     0.000     1.000 ! *
ch3co2             2   514.000     5.007     1.300     0.000     1.000 ! ch3co2h
ch3cooh            2   473.800     5.849     1.710    10.410     1.000 ! calc Smhp 09
ch2cooh            2   473.800     5.849     1.710    10.410     1.000 ! calc Smhp 09
ch3co3             2   514.000     5.007     1.300     0.000     1.000 !   ch3co2h
ch3co3h            2   514.000     5.007     1.300     0.000     1.000 !   ch3co2h
c2h5oh             2   470.600     4.410     0.000     0.000     1.500 ! nmm
ch3ch2o            2   470.600     4.410     0.000     0.000     1.500 ! nmm
pc2h4oh            2   470.600     4.410     0.000     0.000     1.500 ! nmm
c2h5o2             2   470.600     4.410     0.000     0.000     1.500 ! c2h5o
c2h5o2h            2   470.600     4.410     0.000     0.000     1.500 ! c2h5oh
c2h4o2h            2   470.600     4.410     0.000     0.000     1.500 ! c2h5oh
c2h3oh             2   436.000     3.970     0.000     0.000     2.000 ! c2h3o, =etoX
c2h2oh             2   224.700     4.162     0.000     0.000     1.000 ! *
hccoh              2   436.000     3.970     0.000     0.000     2.000 !
c2h4o1-2           2   387.300     4.349     1.900     0.000     1.000 ! wjp
c2h3o1-2           2   387.300     4.349     1.900     0.000     1.000 ! c2h4o
chocho             1   440.200     4.010     0.000     0.000     2.000 ! nmm
choco              1   440.200     4.010     0.000     0.000     2.000 ! nmm
o2c2h4oh           2   510.500     4.762     2.200     0.000     1.500 ! hoc2h4oh
ch3choh            2   482.800     6.280     0.000     0.000     1.000 ! dag dummy
c3h8               2   303.400     4.810     0.000     0.000     1.000 ! nmm
nc3h7              2   303.400     4.810     0.000     0.000     1.000 ! nmm
ic3h7              2   303.400     4.810     0.000     0.000     1.000 ! nmm
c3h6               2   307.800     4.140     0.000     0.000     1.000 ! nmm
c3h5-a             2   316.000     4.220     0.000     0.000     1.000
c3h5-t             2   316.000     4.220     0.000     0.000     1.000
c3h5-s             2   316.000     4.220     0.000     0.000     1.000
c3h4-a             1   324.800     4.290     0.000     0.000     1.000 ! nmm
c3h4-p             1   324.800     4.290     0.000     0.000     1.000 ! nmm
c3h3               1   324.800     4.290     0.000     0.000     1.000 ! nmm
c3h2               2   209.000     4.100     0.000     0.000     1.000 ! *
c2h5cho            2   435.200     4.662     2.700     0.000     1.000 !   wjp
c2h5co             2   424.600     4.820     0.000     0.000     1.000 ! nmm
c2h3cho            2   428.800     4.958     2.900     0.000     1.000 !   Wjp
